Symbol,Date,Adj Close,Volume,Name,Day_Perc_Change,
ADANIPORTS,10/22/2018,26153.15039,2222812200,NIFTY 50,2.315014009,
ADANIPORTS,10/23/2018,25346.55078,1772912000,NIFTY 50,-3.084139379,
ADANIPORTS,10/24/2018,25249.7793,1962753500,NIFTY 50,-0.381793503,
ADANIPORTS,10/25/2018,24994.46094,2288634200,NIFTY 50,-1.011170656,
ADANIPORTS,10/26/2018,24717.63086,1688395600,NIFTY 50,-1.107565711,
ADANIPORTS,10/29/2018,24812.03906,2000985900,NIFTY 50,0.381946816,
ADANIPORTS,10/30/2018,24585.5293,2100387500,NIFTY 50,-0.912902666,
ADANIPORTS,10/31/2018,24979.68945,2363084500,NIFTY 50,1.603220135,
ADANIPORTS,11/1/2018,25416,2176972600,NIFTY 50,1.746661214,
ADANIPORTS,11/2/2018,26486.34961,3518978800,NIFTY 50,4.211322037,
ADANIPORTS,11/5/2018,25934.39063,1626675400,NIFTY 50,-2.083937546,
ADANIPORTS,11/6/2018,26120.96094,1562913100,NIFTY 50,0.719393471,
ADANIPORTS,11/7/2018,26147.68945,1731287400,NIFTY 50,0.102325925,
ADANIPORTS,11/8/2018,26227.7207,1654626400,NIFTY 50,0.306073889,
ADANIPORTS,11/9/2018,25601.91992,1839798600,NIFTY 50,-2.386028081,
ADANIPORTS,11/12/2018,25633.17969,1171178800,NIFTY 50,0.122099304,
ADANIPORTS,11/13/2018,25792.86914,1689989400,NIFTY 50,0.622979494,
ADANIPORTS,11/14/2018,25654.42969,1431673200,NIFTY 50,-0.536735375,
ADANIPORTS,11/15/2018,26103.33984,1534457400,NIFTY 50,1.749834869,
ADANIPORTS,11/16/2018,26183.5293,1330024100,NIFTY 50,0.307199973,
ADANIPORTS,11/19/2018,26372,1320040400,NIFTY 50,0.719806337,
ADANIPORTS,11/20/2018,25840.33984,1205800000,NIFTY 50,-2.016002412,
ADANIPORTS,11/21/2018,25971.4707,1397423500,NIFTY 50,0.50746569,
ADANIPORTS,11/22/2018,26019.41016,1010983600,NIFTY 50,0.184585053,
ADANIPORTS,11/23/2018,25927.67969,877061500,NIFTY 50,-0.352546301,
ADANIPORTS,11/26/2018,26376.17969,1611982200,NIFTY 50,1.729811558,
